SIGLAS,Riesgo_tipo_contratacion,serv_sanc,prov_sanc,noticias,pca,alerta2
INPI,39.29212204242725,2.0,3.0,0.0,-0.1403804727698759,3
INNN,33.44378273704242,0.0,0.0,0.0,-0.14055535998660287,3
CENAPRECE,33.56197487497056,0.0,0.0,1.0,-0.140980664133583,3
COFEPRIS,52.20861687359205,14.0,1.0,3.0,-0.14604527353433186,3
PROFECO,37.5364294891526,0.0,3.0,3.0,-0.1499240468992841,3
CONANP,34.02469442169802,0.0,0.0,2.0,-0.14995884900160314,3
CIMAV,33.90915687167068,0.0,0.0,0.0,-0.15210825639622086,3
IPICYT,34.080264300781444,0.0,0.0,1.0,-0.15384718077266638,3
CONAFE,41.06315788048822,1.0,5.0,1.0,-0.15569527740456543,3
SPF,46.32460331100779,10.0,0.0,0.0,-0.15704620425183996,3
CNBV,47.286693503551994,3.0,7.0,15.0,-0.15794616103952172,3
CENSIDA,34.16921368974883,0.0,0.0,0.0,-0.15856415769437013,3
IMER,34.41602412472489,0.0,0.0,1.0,-0.16218240651018775,3
COSAEGRO,34.58734880148363,0.0,0.0,0.0,-0.16894434703376016,3
CIMAT,34.69381933013973,0.0,0.0,0.0,-0.17158747413669592,3
UPN,46.67648805618254,7.0,3.0,0.0,-0.17205956238678793,3
COFECE,35.1402397651055,0.0,0.0,4.0,-0.1726345996595701,3
BANJERCITO,35.079368416735484,0.0,0.0,0.0,-0.1811587165561345,3
INCMNSZ,35.23443225090081,0.0,0.0,0.0,-0.18500817074726864,3
CONDUSEF,38.37940818231291,2.0,0.0,6.0,-0.1873742038559383,3
PMI,35.601463640611,0.0,0.0,0.0,-0.1941197119973793,3
INECOL,35.705477533231836,0.0,0.0,0.0,-0.19670185319774808,3
CIO,35.707780532579015,0.0,0.0,0.0,-0.19675902507497464,3
DICONSA,36.21439668119732,0.0,0.0,5.0,-0.19679169556629314,3
API-Dos Bocas,35.7137167649502,0.0,0.0,0.0,-0.1969063918333405,3
API-Tuxpan,36.09794432021741,0.0,0.0,0.0,-0.20644482728435423,3
CENETEC,36.20506358129165,0.0,0.0,0.0,-0.20910405914659344,3
BANOBRAS,38.144836313413386,0.0,0.0,19.0,-0.209591430190407,3
IMJ,37.652643108266254,1.0,0.0,0.0,-0.2147126626063431,3
API-Mazatlán,36.624769735724456,0.0,0.0,0.0,-0.21952324956531877,3
CENAGAS,36.69503107541811,0.0,0.0,0.0,-0.22126748483471154,3
INMEGEN,40.23630392516872,1.0,2.0,0.0,-0.22238215802305203,3
CONEVAL,37.571188608606235,0.0,0.0,7.0,-0.22545638412767205,3
INPSIQ,38.17715265763675,1.0,0.0,0.0,-0.22773359359249074,3
CICESE,37.00619576428574,0.0,0.0,0.0,-0.22899213721508138,3
INIFAP,40.71221262764026,3.0,0.0,0.0,-0.23001135350695562,3
HRAEV,37.1481497416695,0.0,0.0,0.0,-0.2325161396759354,3
AGN,38.66083100133346,0.0,1.0,3.0,-0.23430706747065377,3
FONATUR,37.79187827579587,0.0,0.0,5.0,-0.23595262028127223,3
COFAA,37.3501567217211,0.0,0.0,0.0,-0.23753095580107328,4
FIRCO,37.462067628869676,0.0,0.0,0.0,-0.24030914010739843,4
INGER,37.5751941938547,0.0,0.0,1.0,-0.24060869158547726,4
III SERVICIOS,37.53293240431843,0.0,0.0,0.0,-0.24206835564803922,4
TFJA,39.00833247416006,0.0,0.0,14.0,-0.24357174925270866,4
CONADIS,42.6442910218016,4.0,0.0,0.0,-0.24764762418473113,4
API-Progreso,37.771797155696575,0.0,0.0,0.0,-0.24799816464093732,4
CPTM,37.925687756907145,0.0,0.0,1.0,-0.24930968187454286,4
INSP,42.63064300630194,3.0,1.0,0.0,-0.24940142328299106,4
API-Tampico,38.00992593055003,0.0,0.0,0.0,-0.25390970304267674,4
HIM,39.33337155224522,1.0,0.0,1.0,-0.2539278752094346,4
INAH,54.06470970835619,10.0,3.0,4.0,-0.2544541361815785,4
CONALITEG,41.784430655579385,3.0,0.0,0.0,-0.25662912807493915,4
HRAEPY,38.13199578005753,0.0,0.0,0.0,-0.2569400827332547,4
INER,38.17581826529573,0.0,0.0,0.0,-0.25802797437719704,4
IPAB,39.36285983359636,0.0,1.0,0.0,-0.259261342840203,4
FCE,43.35099657871675,3.0,1.0,2.0,-0.26226655222288875,4
CNEGSR,38.45176966985588,0.0,0.0,1.0,-0.26236964673083046,4
AGROASEMEX,38.446354698335256,0.0,0.0,0.0,-0.2647440317455975,4
EDUCAL,38.68246581239011,0.0,0.0,2.0,-0.2655878588075125,4
CONAVI,42.26901429441817,3.0,0.0,1.0,-0.26615008825524483,4
CIBNOR,38.52604461404119,0.0,0.0,0.0,-0.26672233108055576,4
NAFIN,38.640257963401076,0.0,0.0,1.0,-0.267048861942249,4
FONATUR Mantenimiento,38.59685923770078,0.0,0.0,0.0,-0.26848030160480674,4
LOTENAL,44.48656228345525,2.0,3.0,0.0,-0.26933226777774333,4
ASERCA,38.70480625820578,0.0,0.0,0.0,-0.2711600825655973,4
ECOSUR,41.32032913004498,2.0,0.0,1.0,-0.27292651967733406,4
SENER,42.746783448224626,1.0,2.0,2.0,-0.2796871002852895,4
COMESA,39.07317019155792,0.0,0.0,0.0,-0.2803047041644236,4
INFOTEC,39.110628885675474,0.0,0.0,0.0,-0.2812346149191873,4
INACIPE,40.28965403915564,0.0,1.0,0.0,-0.2822689761681991,4
HRAEB,39.1551698300394,0.0,0.0,0.0,-0.28234034228547933,4
